ForwardLength_max,ForwardLength_min,ForwardLength_sd,ForwardLength_avg,ForwardTime_max,ForwardTime_min,ForwardTime_sd,ForwardTime_avg,BackwardLength_max,BackwardLength_min,BackwardLength_sd,BackwardLength_avg,BackwardTime_max,BackwardTime_min,BackwardTime_sd,BackwardTime_avg,VPN
1718.0,103.0,683.3669840452724,1228.3585564610012,0.732983,1e-06,0.03912370644653662,0.007685901047729918,458.0,104.0,28.93914546107744,124.34526854219949,0.278091,0.0,0.02673183670433309,0.019100554987212276,1
1718.0,103.0,694.9593838684623,1106.4550458715596,0.374658,8e-06,0.039307200999613524,0.01203442385321101,466.0,104.0,29.497376546412426,123.1065830721003,0.372305,1e-06,0.03491006993489793,0.020986278996865202,1
1411.0,117.0,161.09640493160938,186.08955223880596,0.499535,3.9e-05,0.170842014698823,0.19904022388059703,161.0,144.0,4.253783557753382,151.46153846153845,0.159958,0.0034,0.049709753536888765,0.06644561538461538,1
347.0,117.0,38.90178357649041,156.88888888888889,0.500058,1.1e-05,0.16229857841054288,0.18834048611111112,165.0,119.0,11.397601740883344,152.69230769230768,0.168779,0.021132,0.037656426407389594,0.08337038461538462,1
1718.0,117.0,545.5219753644544,383.52941176470586,0.499319,1.1e-05,0.16611171701086463,0.15316723529411766,161.0,127.0,8.422192905255336,151.0,0.289619,0.008309,0.06728188427702265,0.07507399999999999,1
366.0,117.0,44.55425103673313,155.69565217391303,0.515237,3.8e-05,0.1664506438954813,0.19325271014492756,158.0,140.0,4.0979140313437545,151.23076923076923,0.18111,0.048879,0.036807986332400115,0.07398099999999999,1
1718.0,117.0,726.5048011770375,651.6822429906542,0.499631,1e-05,0.16374048908270225,0.12085967289719628,165.0,119.0,11.46853712336495,149.8125,0.242492,0.001738,0.06945056470407454,0.07348431250000001,1
226.0,117.0,22.586624095257196,145.9189189189189,0.499952,1.3e-05,0.18590859380234567,0.18687431081081085,167.0,119.0,10.940469713454737,149.14285714285714,0.099135,0.011352,0.02161580394122574,0.06438221428571429,1
1718.0,117.0,552.1097122436279,388.64285714285717,0.499752,1.2e-05,0.16913829286807905,0.16010163095238095,161.0,141.0,5.486532677049006,152.42857142857142,0.244667,0.021942,0.053461308904674425,0.058937642857142855,1
229.0,117.0,24.58580974497945,150.77142857142857,0.499896,3.9e-05,0.14977058233619397,0.1840361857142857,159.0,143.0,4.6828403862228996,149.3846153846154,0.198238,0.04859,0.056963449414265614,0.12071146153846155,1
1718.0,117.0,462.5101777014079,303.9178082191781,0.499743,1.3e-05,0.18593986179520408,0.1861131369863014,163.0,144.0,6.027550161279918,154.76923076923077,0.200155,0.02735,0.05236506786095899,0.08518938461538463,1
1718.0,103.0,676.5737590682758,598.1884057971015,0.499562,1e-05,0.1361167660507549,0.08290800000000001,196.0,109.0,16.31033360322592,122.06153846153846,0.236423,2e-05,0.03154360283175708,0.022924992307692304,1
1718.0,103.0,719.0418431295927,988.9595238095238,0.441537,1.2e-05,0.03340329175466716,0.010678414285714286,473.0,104.0,29.142940919206186,122.78865979381443,0.29587,1e-06,0.031166312885649028,0.021968020618556697,1
