ForwardLength_max,ForwardLength_min,ForwardLength_sd,ForwardLength_avg,ForwardTime_max,ForwardTime_min,ForwardTime_sd,ForwardTime_avg,BackwardLength_max,BackwardLength_min,BackwardLength_sd,BackwardLength_avg,BackwardTime_max,BackwardTime_min,BackwardTime_sd,BackwardTime_avg,VPN
1454,91,516.4784603,424,0.031138,1.00E-06,0.012091525,0.0071498,1454,91,588.0934355,635.6666667,30.012594,5.00E-06,11.18179388,5.009358833,0
1454,188,546.6120082,507.25,0.026393,0,0.011010789,0.00743225,1454,91,591.6287312,627.6666667,30.014034,4.00E-06,11.18221425,5.009860333,0
312,180,62.22539674,268,0.009588,0.000562,0.004048618,0.003889,1454,88,556.8240982,987.5833333,0.028874,1.00E-06,0.009406144,0.006136083,0
310,180,61.2825877,266.6666667,0.011572,0.000787,0.005081272,0.004386,1454,60,568.7221705,1088.891892,0.06164,1.00E-06,0.010878811,0.002756919,0
309,180,60.81118318,266,0.009566,0.000763,0.004133607,0.003720333,1454,60,597.2277809,928.6666667,0.003281,0,0.000703165,0.0002761,0
312,180,62.22539674,268,0.010093,0.000668,0.004308959,0.004009,1454,254,517.5761852,1065.727273,0.025087,2.00E-06,0.007233131,0.003343364,0
310,180,61.2825877,266.6666667,0.010042,0.000684,0.004410225,0.003805,1454,60,562.6878718,1106,0.091616,2.00E-06,0.01572508,0.004990103,0
309,180,60.81118318,266,0.010082,0.000762,0.004388314,0.003876,1454,63,584.7670782,983.5,0.004711,1.00E-06,0.001047956,0.000480429,0
312,180,62.22539674,268,0.008485,0.000421,0.003705081,0.003251,1454,312,402.6934523,1210.272727,0.06353,1.00E-06,0.018024849,0.007252364,0
310,180,61.2825877,266.6666667,0.009366,0.000406,0.003946401,0.003838667,1454,60,563.2917579,1099.026316,0.127133,2.00E-06,0.02492396,0.006921658,0
309,180,60.81118318,266,0.009413,0.000437,0.004225916,0.003436667,1454,60,620.7864805,907.8709677,0.005967,0,0.001333117,0.000511355,0
312,180,62.22539674,268,0.009739,0.000769,0.004123919,0.003913,1454,88,601.8895017,860.8333333,0.060724,1.00E-06,0.016768132,0.0084765,0
310,180,61.2825877,266.6666667,0.008926,0.000483,0.003835844,0.003514333,1454,60,571.441546,1085.72973,0.091332,1.00E-06,0.015974326,0.004668486,0
599,151,179.4217378,407.2,30.535585,0.000235,12.21298905,6.1096076,1454,173,518.610885,885.5,0.409935,0.000163,0.161744422,0.133193,0
309,180,60.81118318,266,0.009051,0.000405,0.004035605,0.003344667,1454,60,618.9460873,854.2727273,0.004594,1.00E-06,0.001094065,0.000452333,0
312,180,62.22539674,268,0.008655,0.000791,0.003511574,0.003717,1454,312,430.273499,1148.222222,0.107445,2.00E-06,0.033392155,0.013509889,0
310,180,61.2825877,266.6666667,0.00914,0.000314,0.004059361,0.003405,1454,60,530.4238111,1151.075,0.086875,1.00E-06,0.014038251,0.003114,0
309,180,60.81118318,266,0.009163,0.000461,0.004086695,0.003383667,1454,60,603.5328252,922.4375,0.003535,0,0.000838286,0.000414531,0
312,180,62.22539674,268,0.010203,0.000399,0.004413608,0.003985667,1454,88,482.0785126,1094,0.031013,2.00E-06,0.010164997,0.005924923,0
310,180,61.2825877,266.6666667,0.010988,0.000465,0.00485536,0.004126667,1454,60,500.6447346,1215.184211,0.092119,1.00E-06,0.015331712,0.003963842,0
309,180,60.81118318,266,0.009866,0.000651,0.004312064,0.003768333,1454,60,612.7257353,882.8,0.002828,1.00E-06,0.000743106,0.0005103,0
312,180,62.22539674,268,0.009606,0.000642,0.004179783,0.003696,1454,88,583.2404377,957.1428571,0.020332,1.00E-06,0.00715336,0.004531357,0
310,180,61.2825877,266.6666667,0.010215,0.000629,0.004498983,0.003852667,1454,60,535.6316808,1148.55,0.089771,1.00E-06,0.014205974,0.003733125,0
